HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Well_Name_1,Well_Name_2,Well_Name_3,Value_1,Value_2,Value_3,yield,yield_std
150,0,0,1,0,0,0,7.5,60,80,60,0.5,0,3,7.5,1.72215,0.92505,2.2335,0.456225,1.74365,4.968,0.533925,0.3636,2.01775,62.9671,1.1344,1.592,8.2065,72.8,0.016675,0.55235,3.1372,A1,A9,A17,588.8806708,450.4072526,456.8566176,498.714847,78.15244985
150,0,0,0,0,0,1,7.5,0,10,2.5,0.3,0.2,6,3.75,9.5675,2.15845,5.2115,0.152075,1.74365,2.76,1.06785,3.636,1.44125,34.22125,1.418,1.99,0.82065,53.872,0.16675,0.55235,1.17645,B1,B9,B17,673.1295774,747.7736037,459.6355266,626.8462359,149.5409597
200,0,0,0,0,0,1,10,80,2.5,5,0.1,0,8,5,2.2962,1.54175,5.956,1.2166,0.871825,2.208,1.601775,0.7272,1.44125,26.00815,1.9852,2.786,4.9239,10.192,0.16675,0.276175,2.3529,C1,C9,C17,380.8767584,301.433642,241.4628499,307.9244168,69.93323311
200,0,0,0,1,0,0,10,80,5,20,1,0.1,4,2.5,0.095675,2.15845,6.7005,0.30415,3.4873,2.208,21.890925,2.1816,2.01775,19.1639,1.9852,3.582,3.2826,53.872,0.16675,0.55235,3.1372,D1,D9,D17,203.9224605,226.0423155,224.97339,218.312722,12.47378733
200,0,0,1,0,0,0,7.5,60,2.5,10,0.4,0,10,2.5,1.243775,2.77515,2.978,0.91245,9.590075,2.76,3.737475,1.4544,2.01775,46.5409,2.2688,1.592,2.46195,40.768,0.16675,1.380875,3.1372,E1,E9,E17,211.0332142,171.7609853,157.3658466,180.0533487,27.77803187
150,0,0,1,0,0,0,0,60,10,0,0.4,0.1,4,3.75,1.72215,1.8501,5.2115,0.456225,13.077375,4.416,5.33925,0.7272,1.153,46.5409,0.2836,1.592,1.6413,53.872,0.050025,0.828525,1.17645,F1,F9,F17,72.91550547,78.09484011,144.4617336,98.49069306,39.89622543
200,0,0,1,0,0,0,0,5,20,10,0.4,0,0,8.75,2.2962,0.30835,0.7445,0.30415,2.615475,3.864,5.33925,3.2724,2.306,46.5409,1.7016,3.582,1.6413,5.824,0.03335,0.828525,1.17645,G1,G9,G17,697.9143778,627.2240901,569.8583065,631.6655915,64.14346851
50,0,0,0,0,1,0,10,40,20,40,2,0.1,1,6.25,4.01835,2.77515,3.7225,0.152075,17.4365,3.864,1.601775,1.0908,1.153,62.9671,1.418,3.582,0.82065,30.576,0.0667,0.55235,2.3529,H1,H9,H17,737.0572805,481.7595801,903.3896922,707.4021843,212.3736246
125,0,0,0,0,1,0,0,100,5,0,0,0.2,10,10,0.287025,0.30835,2.2335,0.152075,17.4365,2.208,1.601775,3.2724,0.28825,84.8687,0.5672,0.796,1.6413,30.576,0.050025,0.276175,2.3529,I1,I9,I17,32.05963744,64.6330162,52.75917235,49.81727533,16.48476022
200,0,1,0,0,0,0,7.5,5,20,60,0.2,0.2,6,2.5,7.175625,0.6167,2.978,0.152075,3.4873,2.76,2.669625,2.9088,1.153,19.1639,0.5672,4.776,3.2826,30.576,0.150075,3.3141,1.17645,J1,J9,J17,554.5714717,546.8700481,453.0307111,518.1574103,56.53267366
