HEPES,HEPES_pH7.0,HEPES_pH7.2,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH8.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Value_1,Value_2,Value_3,yield,yield_std
200,0,0,0,0,1,0,17.5,10,20,10,0.3,0,10,7.5,5.3578,2.15845,2.2335,1.52075,9.590075,1.104,1.601775,1.4544,2.306,26.00815,1.418,19.9,8.2065,7.28,0.083375,5.247325,2.3529,1451.918926,1271.083216,1416.058008,1379.686717,95.74728015
175,0,0,0,0,1,0,10,20,20,20,3,0.1,9,2.5,2.2962,1.2334,4.467,1.2166,5.23095,1.104,1.601775,0.3636,2.59425,84.8687,1.7016,14.726,1.6413,13.104,0.03335,3.590275,3.52935,983.3932013,1031.183389,983.5129384,999.3631761,27.55717738
100,0,0,0,0,1,0,20,0,20,80,1,0,10,2.5,9.5675,0.92505,5.956,0.30415,6.9746,4.416,5.33925,2.5452,2.8825,34.22125,1.9852,11.144,0.82065,4.368,0.016675,4.97115,3.52935,659.292837,631.8851678,573.4995349,621.5591799,43.81885656
50,0,1,0,0,0,0,12.5,5,5,5,0.5,0,3,2.5,4.01835,0.92505,2.978,0.456225,3.4873,2.208,1.601775,2.1816,2.8825,46.5409,2.2688,19.9,2.46195,53.872,0.016675,5.247325,3.52935,1211.153372,1082.949566,1115.98118,1136.694706,66.56456741
50,0,0,0,0,1,0,12.5,5,20,60,0.3,0.1,7,2.5,3.0616,0.6167,0.7445,0.456225,3.4873,4.968,21.890925,2.9088,2.8825,46.5409,2.5524,14.726,2.46195,23.296,0.150075,1.933225,1.96075,1182.734379,1105.079572,1072.319569,1120.044507,56.70819637
175,0,0,0,0,1,0,12.5,20,10,10,0.3,0.1,10,3.75,5.3578,0.6167,1.489,0.6083,13.077375,3.864,21.890925,0.7272,2.59425,46.5409,2.836,3.582,1.6413,7.28,0.1334,5.247325,0.7843,838.3886114,839.4796618,797.3221011,825.0634581,24.03091268
75,0,0,0,0,0,1,5,20,10,10,3,0.2,10,1.25,4.01835,1.54175,0.7445,0.91245,13.077375,4.968,0.533925,2.9088,2.306,34.22125,1.9852,14.726,4.9239,13.104,0.016675,4.694975,2.74505,1241.53874,1054.691776,1207.035524,1167.755347,99.42407272
200,0,0,0,0,0,1,2.5,2.5,20,0,1,0,7,1.25,7.175625,2.4668,5.2115,0.6083,13.077375,0.552,12.280275,2.5452,2.8825,26.00815,2.5524,4.776,7.38585,13.104,0.0667,3.590275,1.17645,625.8675569,656.4198582,636.2467975,639.5114042,15.53557276
50,0,0,0,0,0,1,10,0,10,60,0.4,0,10,6.25,5.3578,2.15845,3.7225,0.91245,6.9746,1.656,39.51045,0.3636,2.8825,34.22125,1.1344,14.726,1.6413,23.296,0.016675,0.276175,3.52935,1009.132662,1063.883534,1160.401337,1077.805844,76.58933357
125,0,1,0,0,0,0,15,10,20,2.5,0.5,0.1,5,3.75,1.72215,0.92505,1.489,2.889425,2.615475,1.656,5.33925,1.818,2.8825,84.8687,1.418,14.726,2.46195,13.104,0.150075,4.4188,2.74505,916.0638908,951.9884121,928.3782321,932.1435117,18.25584303
75,0,1,0,0,0,0,15,10,10,40,0.5,0.2,7,6.25,4.01835,2.4668,0.7445,1.2166,9.590075,4.968,21.890925,2.5452,1.44125,34.22125,0.5672,19.9,0.82065,23.296,0.0667,2.485575,2.74505,1003.42625,989.5633858,1092.975698,1028.655111,56.13286163
150,0,0,0,0,0,1,10,5,10,2.5,2,0.1,5,3.75,3.0616,1.54175,1.489,0.152075,3.4873,1.656,2.669625,2.1816,2.59425,113.61455,0.2836,14.726,0.82065,4.368,0.1334,3.3141,3.1372,756.8374037,839.0736117,877.0023394,824.3044516,61.42881252
100,0,0,0,0,0,1,17.5,20,5,10,2,0,8,8.75,5.3578,0.6167,5.2115,1.2166,6.9746,3.864,5.33925,2.9088,2.8825,113.61455,1.7016,1.194,4.10325,13.104,0.0667,5.247325,1.17645,626.3983123,567.6201576,634.8617292,609.626733,36.62405823
125,0,0,0,0,0,1,17.5,10,10,0,1,0.1,7,2.5,4.01835,1.8501,0.7445,2.889425,3.4873,1.656,5.33925,2.9088,2.59425,34.22125,1.9852,8.358,4.9239,13.104,0.116725,2.485575,2.74505,654.1767398,647.3146697,642.1650375,647.8854823,6.026161198
150,0,0,0,0,0,1,15,5,5,80,0.3,0.1,4,3.75,5.3578,3.0835,2.978,0.6083,6.9746,2.208,2.669625,1.0908,2.8825,34.22125,1.1344,3.582,0.82065,7.28,0.03335,3.037925,0.39215,1754.448783,1508.799349,1564.184279,1609.144137,128.848565
75,0,0,0,1,0,0,5,5,5,20,0.3,0.1,8,3.75,9.5675,0.92505,5.2115,0.91245,6.9746,2.208,39.51045,1.4544,2.01775,34.22125,2.2688,3.582,2.46195,4.368,0.083375,3.86645,1.17645,968.0861102,904.2519501,969.5135241,947.2838615,37.273562
50,0,0,1,0,0,0,2.5,5,2.5,5,0.4,0.1,7,7.5,4.01835,2.77515,0.7445,1.2166,9.590075,2.208,1.601775,1.0908,2.59425,46.5409,0.5672,1.194,8.2065,7.28,0.10005,4.694975,3.1372,629.929247,620.6288859,633.1764257,627.9115196,6.512572982
75,0,1,0,0,0,0,5,2.5,2.5,2.5,3,0,6,3.75,3.0616,1.54175,6.7005,0.91245,17.4365,0.552,39.51045,1.0908,2.59425,26.00815,1.1344,14.726,6.5652,4.368,0.083375,3.86645,0.39215,395.4426165,350.5985669,389.4417511,378.4943115,24.34403465
100,0,0,0,0,0,1,5,0,2.5,20,0.5,0,9,10,0.478375,1.54175,0.7445,0.6083,2.615475,1.104,1.601775,3.2724,2.8825,46.5409,2.836,14.726,0.82065,4.368,0.083375,4.694975,3.1372,1753.469728,1395.912052,1504.800355,1551.394045,183.2760264
