yield,yield_std,Day
2.870917853,0.197507124,Day_1
4.666218526,0.974308352,Day_1
1.847909115,0.398020444,Day_1
-0.012325406,0.024049574,Day_1
2.812297018,0.606349875,Day_1
-0.013527885,0.023748954,Day_1
-0.017135321,0.023147715,Day_1
3.479973306,0.759064668,Day_1
7.224792541,1.555406175,Day_1
-0.010521688,0.024049574,Day_1
-0.013227266,0.023748954,Day_1
-0.006313013,0.024951433,Day_1
0.022847095,0.030963826,Day_1
-0.023147715,0.021644616,Day_1
-0.021043377,0.021945236,Day_1
-0.022546475,0.021343997,Day_1
-0.020442138,0.022245856,Day_1
3.094879508,0.667676288,Day_1
6.439273342,1.330542662,Day_1
-0.013527885,0.023448334,Day_1
