NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw1,raw2,raw3,mean,yield,yield_std
1.56,50,90,10,0.7,1,1.44,0.0544,0.16,0.25,0.195,0.35,0.4875,4,20,A1,B1,C1,4123,3908,3614,3881.666667,0.955,0.0657
3.12,50,105,10,0.1,2.5,0.99,0.068,0.08,1.25,0.13,0.2625,0.4875,4,20,A3,B3,C3,6354,5986,6272,6204,1.5522,0.3241
2.34,50,30,10,0.2,0,0.69,0.0272,0.08,0.5,0.065,0.0875,0.325,12,20,A5,B5,C5,2608,2432,2635,2558.333333,0.6147,0.1324
1.56,50,105,0,1,0.5,0.51,0.0408,0.08,3.5,0.26,0.175,0.8125,32,20,A7,B7,C7,155,150,151,152,-0.0041,0.008
2.34,50,135,10,0.1,1,0.42,0.0136,0.12,3,0.13,0.0875,0.1625,32,20,A9,B9,C9,3841,3850,3726,3805.666667,0.9355,0.2017
0.78,50,30,2.5,0.3,2.5,1.32,0.068,0.2,0.75,0.195,0.2625,0.4875,24,20,A11,B11,C11,150,151,151,150.6666667,-0.0045,0.0079
2.34,50,135,2.5,0.8,3,1.02,0.0408,0.12,2,0.13,0.175,0.4875,12,20,A13,B13,C13,148,144,145,145.6666667,-0.0057,0.0077
1.56,50,30,2.5,0.3,1,0.33,0.0408,0.16,3,0.325,0.0875,0.8125,4,20,A15,B15,C15,4914,4707,4388,4669.666667,1.1576,0.2525
0.78,50,30,5,0.3,1.5,1.17,0.0408,0.16,4,0.065,0.175,0.4875,20,20,A17,B17,C17,10855,8409,9277,9513.666667,2.4033,0.5174
3.12,50,135,0,0.4,3,0.39,0.0408,0.2,3.5,0.065,0.175,0.8125,20,20,A19,B19,C19,156,150,157,154.3333333,-0.0035,0.008
2.34,50,105,5,0.1,2.5,0.69,0.0272,0.08,1.5,0.325,0.175,0.325,28,20,A21,B21,C21,152,150,151,151,-0.0044,0.0079
3.12,50,150,0,1,1,0.63,0.0272,0.08,0.75,0.065,0.0875,0.4875,4,20,A23,B23,C23,159,159,161,159.6666667,-0.0021,0.0083
0.78,50,150,0,0.5,1.5,1.29,0.0408,0.2,3,0.26,0.175,0.325,8,20,D1,E1,F1,194,197,202,197.6666667,0.0076,0.0103
1.56,50,135,0,0.5,3,0.42,0.068,0.08,2.25,0.13,0.175,0.65,8,20,D3,E3,F3,140,134,140,138,-0.0077,0.0072
2.34,50,90,2.5,0.9,3,1.17,0.0272,0.04,1.75,0.26,0.2625,0.65,32,20,D5,E5,F5,138,139,145,140.6666667,-0.007,0.0073
1.56,50,135,0,0.7,3,0.54,0.068,0.2,0.5,0.065,0.4375,0.4875,8,20,D7,E7,F7,133,136,147,138.6666667,-0.0075,0.0071
3.12,50,120,0,0.3,3,0.15,0.0544,0.04,3.5,0.26,0.4375,0.1625,4,20,D9,E9,F9,140,143,142,141.6666667,-0.0068,0.0074
2.34,50,105,5,0.8,2.5,0.3,0.068,0.12,1.75,0.195,0.35,0.1625,4,20,D11,E11,F11,4090,4363,4061,4171.333333,1.0295,0.2221
3.12,50,60,10,0.8,0,0.18,0.0136,0.12,3,0.13,0.175,0.4875,20,20,D13,E13,F13,8450,8425,8617,8497.333333,2.142,0.4426
2.34,50,60,0,0.4,1,0.75,0.068,0.2,4,0.13,0.175,0.1625,12,20,D15,E15,F15,150,149,152,150.3333333,-0.0045,0.0078
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,3923,4049,3782,3918,0.9643,0.2092
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,2299,2174,2025,2166,0.5138,0.1175
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,4311,4162,4113,4195.333333,1.0357,0.2224
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,165,173,166,168,0,0.0089
