NTP,HEPES,K_Glutamate,Mg_Glutamate,spermidine,DTT,amino_acids,folinic_acid,tRNA_mix,PEG,CoA,NAD,cAMP,3-PGA,DNA,well_name_1,well_name_2,well_name_3,raw_1,raw_2,raw_3,mean,yield,yield_std
2.34,50,30,7.5,0.3,0,0.15,0.0136,0.08,3.75,0.065,0.2625,0.4875,20,20,A1,B1,C1,7531,7120,8634,7761.666667,1.2319,0.1309
0.78,50,60,10,0.3,2.5,0.33,0.0408,0.16,3.75,0.13,0.0875,0.4875,16,20,A3,B3,C3,2531,2363,2901,2598.333333,0.3957,0.046
0.78,50,30,7.5,0.3,2.5,0.21,0.0136,0.12,4,0.065,0.35,0.8125,12,20,A5,B5,C5,4929,4821,5476,5075.333333,0.7967,0.0587
1.56,50,60,7.5,0.3,1,0.33,0.0272,0.08,2.5,0.13,0.4375,0.4875,8,20,A7,B7,C7,8718,7515,8773,8335.333333,1.4304,0.1189
0.78,50,60,7.5,0.3,2,0.21,0.0272,0.12,3.5,0.13,0.4375,0.4875,8,20,A9,B9,C9,1522,1596,1794,1637.333333,0.2269,0.0235
1.56,50,30,10,0.3,0,0.15,0.0272,0.04,2.5,0.13,0.35,0.4875,12,20,A11,B11,C11,5623,5639,5600,5620.666667,0.9128,0.0033
3.12,50,30,5,0.3,2,0.3,0.0408,0.2,2.5,0.065,0.0875,0.8125,16,20,A13,B13,C13,125,135,141,133.6666667,-0.0067,0.0014
0.78,50,45,5,0.3,2,0.18,0.0408,0.08,4,0.065,0.2625,0.8125,20,20,A15,B15,C15,9084,8658,8769,8837,1.4916,0.037
2.34,50,30,10,0.3,2,0.24,0.0272,0.16,3.25,0.13,0.4375,0.65,4,20,A17,B17,C17,1421,1567,1670,1552.666667,0.2101,0.0209
1.56,50,30,7.5,0.3,2,0.24,0.0408,0.08,4,0.13,0.175,0.8125,20,20,A19,B19,C19,6548,7745,8354,7549,1.0675,0.1537
1.56,50,45,7.5,0.3,0.5,0.27,0.0272,0.2,3,0.065,0.35,0.65,12,20,A21,B21,C21,6651,6685,7409,6915,1.0847,0.0716
0.78,50,60,7.5,0.3,2,0.15,0.0136,0.16,2.75,0.13,0.0875,0.65,20,20,A23,B23,C23,5798,5886,6834,6172.666667,0.9421,0.0961
3.12,50,60,7.5,0.3,2.5,0.27,0.0408,0.2,3.25,0.13,0.175,0.8125,8,20,D1,E1,F1,2193,2238,2378,2269.666667,0.352,0.0161
0.78,50,30,5,0.3,1.5,0.3,0.0136,0.08,3.75,0.13,0.2625,0.65,20,20,D3,E3,F3,5966,5773,6570,6103,0.9931,0.0695
3.12,50,60,5,0.3,0,0.21,0.0272,0.2,3.5,0.13,0.0875,0.8125,20,20,D5,E5,F5,133,127,132,130.6666667,-0.0057,0.0005
1.56,50,30,10,0.3,1,1.08,0.0272,0.04,3.75,0.13,0.4375,0.4875,12,20,D7,E7,F7,1420,1263,1462,1381.666667,0.2035,0.0175
0.78,50,30,7.5,0.3,1,1.23,0.0272,0.16,4,0.13,0.2625,0.4875,8,20,D9,E9,F9,358,329,369,352,0.0313,0.0035
2.34,50,60,5,0.3,2,1.23,0.0136,0.16,2.75,0.13,0.2625,0.4875,8,20,D11,E11,F11,752,511,583,615.3333333,0.0753,0.0207
1.56,50,45,7.5,0.3,2,1.32,0.0272,0.12,3.75,0.065,0.0875,0.8125,12,20,D13,E13,F13,8011,7643,10057,8570.333333,1.4057,0.2175
0.78,50,30,7.5,0.3,0.5,0.84,0.0272,0.16,2.75,0.13,0.175,0.65,12,20,D15,E15,F15,1004,1020,1157,1060.333333,0.1497,0.0141
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D17,E17,F17,6016,5637,6661,6104.666667,0.9933,0.0866
1.56,50,90,5,1,0.5,1.5,0.068,0.2,2,0.26,0.35,0.8125,28,20,D19,E19,F19,765,1120,811,898.6666667,0.1227,0.0323
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,20,D21,E21,F21,6314,5895,6344,6184.333333,1.0067,0.042
1.56,50,90,5,0.5,1.5,0.81,0.0408,0.12,2,0.195,0.2625,0.4875,16,0,D23,E23,F23,189,151,155,165,0,0.0035
