nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0068,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40,1.1475,0.0206
0.033,0.0204,0.026,0.75,0.3,9,0.15,0.06,2,0.225,40,1.2372,0.0446
0.033,0.0068,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.1424,0.0378
0.033,0.0068,0.13,0.75,0.3,9,0.15,0.06,2,0.075,40,1.1168,0.052
0.033,0.0204,0.026,0.75,0.3,9,0.15,0.1,2,0.225,40,1.2983,0.1535
0.033,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,0.9931,0.1211
0.099,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.075,40,1.2072,0.0863
0.099,0.0068,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.1615,0.0576
0.099,0.0068,0.13,0.75,0.3,9,0.15,0.06,2,0.075,40,1.2099,0.1221
0.033,0.0068,0.13,0.75,0.3,9,0.15,0.06,2,0.225,40,1.1667,0.0302
0.165,0.0068,0.078,0.75,0.3,9,0.15,0.02,2,0.225,40,1.2088,0.0981
0.033,0.034,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.1788,0.049
0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.075,40,1.21,0.0996
0.099,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.1832,0.0805
0.099,0.0204,0.078,0.75,0.3,9,0.15,0.06,2,0.225,40,1.2621,0.0653
0.165,0.0068,0.13,0.75,0.3,9,0.15,0.06,2,0.075,40,1.1319,0.0502
0.033,0.0204,0.13,0.75,0.3,9,0.15,0.06,2,0.225,40,1.0504,0.073
0.165,0.034,0.026,0.75,0.3,9,0.15,0.02,2,0.225,40,1.2743,0.0544
0.099,0.034,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,1.2291,0.0647
0.165,0.034,0.13,0.75,0.3,9,0.15,0.02,2,0.075,40,1.1845,0.0717
0.099,0.034,0.026,0.75,0.3,9,0.15,0.1,2,0.225,40,1.369,0.053
0.033,0.034,0.13,0.75,0.3,9,0.15,0.06,2,0.225,40,1.2077,0.0915
0.165,0.0204,0.13,0.75,0.3,9,0.15,0.06,2,0.075,40,1.1686,0.1102
