PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3,2.5,0.2,0,0.16,0.6,0.8,10,0,1,0,0,2627.16,1553.179422
3,0,0.2,0,0.04,0.6,0.8,10,0,0,0,1,798.13,201.0141624
1,2.5,0.2,0,0.04,1.5,0.8,10,0,1,0,0,143.88,239.2228008
4,2.5,0.2,0,0.12,0.6,0.4,10,0,1,0,0,22887.36,8862.182414
4.5,1,0.4,0,0.04,0.75,0.05,10,0,1,0,0,22448.96,9029.841049
3,2.5,0.2,0,0.04,1.5,0.2,10,0,1,0,0,1750.2,892.1235398
4.5,4,1.8,0,0.08,0.48,1.6,10,1,0,0,0,223.47,142.175682
2.5,0,2,0,0.04,0.75,0.05,10,0,1,0,0,7664.4,2157.298298
3,2,0.2,0,0.08,0.48,1.6,10,0,1,0,0,761.97,66.27095896
1.5,3,1.2,0,0.12,1.5,0.4,10,0,1,0,0,167.54,185.6257783
3,0,0.2,0,0.16,0.75,0.2,10,0,1,0,0,4410.87,1029.956425
1.5,2.5,0.2,0,0.04,0.75,0.2,10,0,1,0,0,1197.89,592.749208
3,0,0.2,0,0.12,0.6,0.1,10,0,0,1,0,4167.15,392.5657681
3.5,1.5,0.2,0,0.2,0.48,0.1,10,1,0,0,0,4672.84,787.4524304
5,2.5,0.2,0,0.08,0.9,0.05,10,0,1,0,0,12961.3,3492.95603
2.5,0,0.6,0,0.04,0.75,0.05,10,0,1,0,0,8412.16,1009.185273
2.5,4,0.2,0,0.04,0.75,0.05,10,0,1,0,0,15201.66,11687.94378
3,2.5,0.2,0,0.12,1.11,0.2,10,0,1,0,0,1826.45,840.9195997
4,2.5,0.2,0,0.12,0.48,0.2,10,0,1,0,0,23744.03,1964.869376
3,0,0.2,0,0.04,0.75,0.05,10,0,0,0,1,7227.25,2251.572546
