PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3,2.5,0.2,0,0.16,0.6,0.8,10,0,1,0,0,16.65,8.760738137
3,0,0.2,0,0.04,0.6,0.8,10,0,0,0,1,4.62,0.952610872
1,2.5,0.2,0,0.04,1.5,0.8,10,0,1,0,0,5.83,7.943601275
4,2.5,0.2,0,0.12,0.6,0.4,10,0,1,0,0,46.36,12.80362723
4.5,1,0.4,0,0.04,0.75,0.05,10,0,1,0,0,36.04,12.81730962
3,2.5,0.2,0,0.04,1.5,0.2,10,0,1,0,0,10.53,4.720347122
4.5,4,1.8,0,0.08,0.48,1.6,10,1,0,0,0,3.75,1.772291053
2.5,0,2,0,0.04,0.75,0.05,10,0,1,0,0,11.42,1.526146006
3,2,0.2,0,0.08,0.48,1.6,10,0,1,0,0,6.72,0.850892913
1.5,3,1.2,0,0.12,1.5,0.4,10,0,1,0,0,3.73,2.85870254
3,0,0.2,0,0.16,0.75,0.2,10,0,1,0,0,9.33,2.107265909
1.5,2.5,0.2,0,0.04,0.75,0.2,10,0,1,0,0,9.89,3.836954862
3,0,0.2,0,0.12,0.6,0.1,10,0,0,1,0,7.27,0.82773687
3.5,1.5,0.2,0,0.2,0.48,0.1,10,1,0,0,0,11.58,1.414498469
5,2.5,0.2,0,0.08,0.9,0.05,10,0,1,0,0,33.67,9.001811978
2.5,0,0.6,0,0.04,0.75,0.05,10,0,1,0,0,11.1,0.846159028
2.5,4,0.2,0,0.04,0.75,0.05,10,0,1,0,0,26.24,17.26873037
3,2.5,0.2,0,0.12,1.11,0.2,10,0,1,0,0,11.28,4.466679188
4,2.5,0.2,0,0.12,0.48,0.2,10,0,1,0,0,39.17,3.668818768
3,0,0.2,0,0.04,0.75,0.05,10,0,0,0,1,9.46,1.874171818
