PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std,FCAvg,FCStd,Plasmid
4,2.5,0.2,0.0078,0.04,0.48,20,10,0,1,0,0,4882.76,1028.271191,4.08,0.602756852,2
3.5,2.5,0.2,0.0156,0.04,1.38,20,10,0,1,0,0,3416.41,642.7593574,6.53,0.908907939,2
4.5,2.5,0.2,0.0156,0.2,0.48,10,10,0,1,0,0,1215.41,47.85701549,2.03,0.029691123,2
5,2.5,0.2,0.078,0.08,0.9,5,10,0,1,0,0,198.79,35.50187704,1.69,0.12397807,2
4,2.5,0.2,0.0624,0.2,0.48,20,10,0,1,0,0,35.02,11.406587,1.56,0.172821099,2
3.5,2.5,0.2,0.078,0.2,0.9,20,10,0,1,0,0,34.66,26.9587439,1.89,0.614855555,2
3.5,2.5,0.2,0.0624,0.2,1.11,10,10,0,1,0,0,264.14,29.1268894,2.11,0.107479934,2
4.5,2.5,0.2,0.0273,0.08,0.75,60,10,0,1,0,0,44.88,52.72115325,1.49,0.507712682,2
5,2.5,0.2,0.0624,0.08,0.48,80,10,0,1,0,0,-1.89,3.177589686,0.89,0.930221004,2
3.5,2.5,0.2,0.0702,0.12,1.11,80,10,0,1,0,0,-9.36,8.965535999,1.39,0.330844855,2
5,2.5,0.2,0.0624,0.04,1.26,40,10,0,1,0,0,-9.91,13.57785393,1.27,0.647745408,2
3,2.5,0.2,0.0507,0.12,1.11,20,10,0,1,0,0,106.84,34.74386916,1.63,0.163197089,2
2,2.5,0.2,0.0156,0.2,0.75,20,10,0,1,0,0,2183.47,234.6161946,2.88,0.17664498,2
3,2.5,0.2,0.0702,0.16,0.6,80,10,0,1,0,0,-4.27,6.224850545,1.63,1.514562506,2
3.5,2,0.2,0.0078,0.04,0.6,10,10,0,1,0,0,18811.54,1009.748518,4.8,0.109517266,2
3.5,2,0.2,0.0078,0.16,0.48,60,10,0,1,0,0,659.5,152.8961244,2.53,0.296733587,2
1,2.5,0.2,0.0078,0.04,1.5,60,10,0,1,0,0,466.3,138.2351458,3.25,0.560969265,2
