PEG,DTT,Spermidine,T7Pol,t-RNA,AminoAcids,TF-plasmid,Circuit-plasmid,Circuit-plasmid_pTAC,Circuit-plasmid_pTHS,Circuit-plasmid_pDC,Circuit-plasmid_pSTAR,yield,yield_std
3,1,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,28375.29,2526.014098
2.5,0,0.6,0.0078,0.04,0.75,5,10,0,1,0,0,24577.12,2668.60116
2.5,1,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,19586.38,2024.648856
2.5,1.5,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,9872.11,1302.836466
2.5,2.5,0.2,0.0078,0.04,0.75,5,10,0,1,0,0,30933.06,4059.427286
3,2,0.2,0.0078,0.04,0.75,2.5,10,0,1,0,0,28818.11,1711.868505
2,0,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,52847.37,6502.376365
2.5,1.5,0.2,0.0078,0.04,0.75,0,10,0,1,0,0,23524.08,3491.867637
2.5,0,0.2,0.0078,0.04,0.75,10,10,0,1,0,0,37392.68,5157.024667
3.5,1.5,0.4,0.0078,0.04,0.75,2.5,10,0,1,0,0,16571.73,1954.921928
3,0.5,0.6,0.0156,0.04,0.75,0,10,0,1,0,0,14611.94,382.5279228
2.5,0.5,0.2,0.0156,0.04,0.75,2.5,10,0,1,0,0,19659.66,1193.717225
3,2,0.6,0.0156,0.04,0.75,5,10,0,1,0,0,5706.41,549.2771424
3,1,0.2,0.0156,0.04,0.75,0,10,0,1,0,0,23169.18,1125.088618
3,0.5,0.2,0.0078,0.04,0.75,5,10,0,0,1,0,8401.25,935.4081
3.5,1,0.2,0.0156,0.04,0.75,5,10,0,1,0,0,19801.01,581.5310941
2.5,1,0.4,0.0273,0.04,0.75,5,10,0,1,0,0,5026.43,336.3424076
4.5,1,0.4,0.0078,0.04,0.75,5,10,0,1,0,0,762.7,822.4034853
3,4,0.2,0.0273,0.04,0.75,5,10,0,1,0,0,9834.71,649.5291739
3,1,0.4,0.0078,0.04,0.75,5,10,0,0,0,1,8695.96,214.5316247
