Type,Replicate,Day,R2-Spearman,R2-Pearson,MAE,MSE
Active,A4,1,0.3829457788103972,-0.7918059217442979,0.29003316660631523,0.29499911418760627
Active,A4,2,0.4154188622942381,-0.7843189284102328,0.2695903671361917,0.272746076996976
Active,A4,3,0.4589014711248133,-0.2829491414810641,0.24941331490180307,0.25644821221059666
Active,A4,4,0.5123407452784956,-0.424541080414256,0.24443231610266883,0.2511325339013809
Active,A4,5,0.4279231465572748,-0.2617143559333659,0.2477741397679544,0.25737873740842404
Active,A4,6,0.4493504212531331,-0.010521948126323233,0.2453000669457917,0.2505762797311437
Active,A4,7,0.5173959810471754,0.3163889707304425,0.23057769481222962,0.19714734755921565
Active,A4,8,0.5663082775640448,0.3404860926413793,0.20732138494642086,0.17963242926984027
Active,A4,9,0.635012147804844,0.4640649185203193,0.1976811302565631,0.14996910449365833
Active,A4,10,0.6558925720692994,0.5623602495559861,0.18788961201744656,0.12680614842591914
